,,track_id,artist,artist_id,album,trackName,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre,popularity,category_id
The Sound of Pop,0,27ycaQnQAxaPiyeg3nr2aB,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,Midnight Sky,Midnight Sky,0.00115,0.705,223279,0.814,0.00312,4,0.203,-5.466,0,0.0346,110.0,4,0.259,"['dance pop', 'pop', 'pop dance', 'post-teen pop']",90.0,pop
The Sound of Pop,1,0prNGof3XqfTvNDxHonvdK,Alessia Cara,2wUjUUtkb5lvLKcGKsKqsR,Know-It-All (Deluxe),Scars To Your Beautiful,0.0285,0.573,230227,0.739,0.0,0,0.111,-5.74,1,0.129,97.085,4,0.451,"['canadian contemporary r&b', 'canadian pop', 'dance pop', 'electropop', 'pop', 'pop dance', 'post-teen pop']",83.0,pop
The Sound of Pop,2,3e7sxremeOE3wTySiOhGiP,ZAYN,5ZsFI1h6hIdQRw2ti0hz81,Icarus Falls,Dusk Till Dawn (feat. Sia) - Radio Edit,0.102,0.259,239000,0.437,1.32e-06,11,0.106,-6.589,0,0.0386,180.042,4,0.0951,"['dance pop', 'electropop', 'pop', 'pop dance', 'post-teen pop', 'uk pop']",84.0,pop
The Sound of Pop,3,4l0Mvzj72xxOpRrp6h8nHi,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,Rare,Lose You To Love Me,0.556,0.488,206459,0.343,0.0,4,0.21,-8.985,1,0.0436,102.819,4,0.0978,"['dance pop', 'pop', 'pop dance', 'post-teen pop']",89.0,pop
The Sound of Pop,4,1rfofaqEpACxVEHIZBJe6W,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,Camila,Havana (feat. Young Thug),0.184,0.765,217307,0.523,3.56e-05,2,0.132,-4.333,1,0.03,104.988,4,0.394,"['dance pop', 'electropop', 'pop', 'pop dance', 'post-teen pop']",87.0,pop
The Sound of Pop,5,5tAa8Uaqr4VvA3693mbIhU,Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,Ruin My Life,Ruin My Life,0.423,0.665,190932,0.699,0.0,11,0.0969,-5.265,1,0.0578,124.896,4,0.585,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'post-teen pop', 'scandipop', 'swedish electropop', 'swedish pop', 'tropical house']",83.0,pop
The Sound of Pop,6,4tCtwWceOPWzenK2HAIJSb,Fifth Harmony,1l8Fu6IkuTP0U5QetQJ5Xt,7/27 (Deluxe),Work from Home (feat. Ty Dolla $ign),0.103,0.803,214480,0.585,3.94e-06,8,0.0644,-5.861,1,0.0432,105.017,4,0.593,"['dance pop', 'electropop', 'girl group', 'pop', 'pop dance', 'post-teen pop', 'talent show']",76.0,pop
The Sound of Pop,7,7JDWhC422Gtk1Bq0mL3OTC,Bea Miller,1o2NpYGqHiCq7FoiYdyd1x,feel something,feel something,0.242,0.74,180161,0.415,0.000156,0,0.319,-8.914,1,0.0707,136.029,4,0.156,"['dance pop', 'electropop', 'modern rock', 'pop', 'pop dance', 'pop rap', 'post-teen pop', 'talent show']",81.0,pop
The Sound of Pop,8,15og0pCEcTFWEXOFKdcJlU,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,Brightest Blue,Hate Me,0.0875,0.64,188067,0.789,0.0,8,0.147,-4.891,1,0.0644,75.018,4,0.762,"['dance pop', 'indietronica', 'metropopolis', 'pop', 'pop dance', 'post-teen pop', 'uk pop']",84.0,pop
The Sound of Pop,9,7gvd8xj4QgPqbQSsn5pV7d,Demi Lovato,6S2OmqARrzebs0tKUEyXyp,Tell Me You Love Me (Deluxe),Sorry Not Sorry,0.0237,0.705,203760,0.64,0.0,11,0.262,-6.928,0,0.225,144.077,4,0.887,"['dance pop', 'pop', 'pop dance', 'post-teen pop']",86.0,pop
The Sound of Pop,10,5Gu0PDLN4YJeW75PpBSg9p,Hailee Steinfeld,5p7f24Rk5HkUZsaS3BLG5F,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)",0.0337,0.664,174800,0.708,0.0,8,0.0841,-4.154,1,0.0474,103.07,4,0.742,"['dance pop', 'pop', 'pop dance', 'post-teen pop']",80.0,pop
The Sound of Pop,11,7vu0JkJh0ldukEYbTVcqd0,Julia Michaels,0ZED1XzwlLHW4ZaG4lOT6m,Nervous System,Issues,0.401,0.728,176320,0.415,0.0,8,0.0616,-6.852,1,0.0639,114.145,4,0.455,"['dance pop', 'electropop', 'pop', 'pop dance', 'post-teen pop']",84.0,pop
The Sound of Pop,12,2fTdRdN73RgIgcUZN33dvt,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,"Baby, I'm Jealous (feat. Doja Cat)","Baby, I'm Jealous (feat. Doja Cat)",0.0398,0.737,175873,0.867,0.0,11,0.32,-2.259,0,0.0458,98.05,4,0.506,"['dance pop', 'electropop', 'pop', 'pop dance', 'post-teen pop']",85.0,pop
